OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point
18332,Geneva Ave&Rio Verde St SE-FS/BZ,GNVARVD0,GNVARVDE,4895,37.706939,-122.415534,0,RIO VERDE ST,GENEVA AVE,FS,SE  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128243,114,,"(37.70693899996835, -122.4155340003933)"
18333,11th St&Mission St S-FS/BZ,11STMIS0,11STMISS,3243,37.774038,-122.416891,0,MISSION ST,11TH ST,FS,S   ,BZ,0,08/25/2018 02:14:39 PM +0000,1128253,114,,"(37.774038000377395, -122.41689100018922)"
18334,11th St&Howard St S-FS/BZ,11STHWR0,11STHWRD,3241,37.77283,-122.41538,0,HOWARD ST,11TH ST,FS,S   ,BZ,0,08/25/2018 02:14:39 PM +0000,1128254,114,,"(37.77282999964317, -122.41538000012363)"
18335,11th St&Harrison St S-FS/BZ,11STHAR0,11STHARR,3239,37.770557,-122.412492,0,HARRISON ST,11TH ST,FS,S   ,BZ,1,08/25/2018 02:14:39 PM +0000,1128255,114,,"(37.77055700019248, -122.4124919999656)"
18336,Division St&Bryant St SE-FS/BZ,DIVNBRY0,DIVNBRYT,4436,37.76934,-122.41074,0,BRYANT ST,DIVISION ST,FS,SE  ,,0,08/25/2018 02:14:39 PM +0000,1128256,114,,"(37.76933999959516, -122.41073999946904)"
18337,Potrero Ave&Alameda St NW-FS/BZ,POTRALA0,POTRALAM,6043,37.768271,-122.407932,0,15TH ST,POTRERO AVE,NS,NW  ,,0,08/25/2018 02:14:39 PM +0000,1128257,114,,"(37.76827100008847, -122.40793199999929)"
18338,Potrero Ave & Mariposa St ,POTRMAR0, ,7911,37.763132,-122.407407,,MARIPOSA ST,POTRERO AVE, , ,BZ,,08/25/2018 02:14:39 PM +0000,1128258,114,,"(37.763132000397256, -122.40740699973186)"
18339,Potrero Ave & 19th St,POTR19S0, ,7912,37.760606,-122.407168,,19TH ST,POTRERO AVE, , ,BZ,,08/25/2018 02:14:39 PM +0000,1128259,114,,"(37.76060600037691, -122.40716799969624)"
18340,Potrero Ave&21st St SW-FS/BZ,POTR21S0,POTR21ST,6034,37.75749,-122.4069,0,21ST ST,POTRERO AVE,FS,SW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128260,114,,"(37.75748999974811, -122.40689999957867)"
18341,Potrero Ave&23rd St NW-NS/BZ,POTR23S0,POTR23ST,6037,37.754949,-122.406747,0,23RD ST,POTRERO AVE,FS,SW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1128261,114,,"(37.75494899985161, -122.40674700024908)"
18342,228 Bay Shore Blvd W-FS/BZ,BSHR 228,BSHR 228,3768,37.74472,-122.40443,0,,BAY SHORE BLVD,FS,SW  ,BZ,0,08/25/2018 02:14:39 PM +0000,1128262,114,,"(37.744720000062706, -122.4044300002803)"
18343,Bay Shore Blvd&Oakdale Ave SW-FS/BB,BSHROAK2, ,7888,37.743046,-122.405402,0,OAKDALE AVE,BAY SHORE BLVD, , , ,,08/25/2018 02:14:39 PM +0000,1128263,114,,"(37.74304599986032, -122.40540200001581)"
18344,Bay Shore Blvd&Cortland Ave NW-NS/BZ,BSHRCOR0,BSHRCORT,3779,37.73946,-122.407122,0,,BAY SHORE BLVD,NS,NW  ,BZ,1,08/25/2018 02:14:39 PM +0000,1128264,114,,"(37.7394599996835, -122.407122000217)"
18345,Bay Shore Blvd&Alemany Blvd SW-FS/SB,BSHRALE0,BSHRALEM,3771,37.737729,-122.406997,0,ALEMANY BLVD,BAYSHORE BLVD,FS,SW  ,,0,08/25/2018 02:14:39 PM +0000,1128265,114,,"(37.73772900016189, -122.40699700048614)"
18346,Bay Shore Blvd&Augusta St NW-NS/BZ,BSHRAUG0,BSHRAUGU,3773,37.73425,-122.40558,0,AUGUSTA ST,BAY SHORE BLVD,NS,NW  ,,0,08/25/2018 02:14:39 PM +0000,1128266,114,,"(37.73425000010284, -122.40557999980862)"
18347,Bay Shore Blvd&Silver Ave NW-NS,BSHRSIL0,BSHRSILV,3789,37.732963,-122.404789,0,SILVER AVE,BAY SHORE BLVD,NS,NW  ,,0,08/25/2018 02:14:39 PM +0000,1128267,114,,"(37.732963000277394, -122.40478899998504)"
